tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N561FX,NORDSTROM INC,a72b34,2024-11-06,2024-11-06 19:13:05+00:00,2024-11-06 20:13:59+00:00,60.9,88PA,Mc Coy Airport,Clinton,US,40.539199829100006,-80.4131011963,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
N561FX,NORDSTROM INC,a72b34,2024-11-08,2024-11-08 18:56:30+00:00,2024-11-08 21:34:23+00:00,157.9,KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.072599,-80.152702,KBOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079
N561FX,NORDSTROM INC,a72b34,2024-11-08,2024-11-08 16:31:05+00:00,2024-11-08 16:58:55+00:00,27.8,,,,,,,KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.072599,-80.152702
N561FX,NORDSTROM INC,a72b34,2024-11-08,2024-11-08 13:52:14+00:00,2024-11-08 14:58:47+00:00,66.6,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-11,2024-11-11 18:43:27+00:00,2024-11-11 20:01:10+00:00,77.7,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N561FX,NORDSTROM INC,a72b34,2024-11-10,2024-11-10 18:00:40+00:00,2024-11-10 19:50:52+00:00,110.2,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
N561FX,NORDSTROM INC,a72b34,2024-11-10,2024-11-10 14:29:57+00:00,2024-11-10 15:23:44+00:00,53.8,KBOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N561FX,NORDSTROM INC,a72b34,2024-11-13,2024-11-13 22:07:18+00:00,2024-11-13 22:34:53+00:00,27.6,,,,,,,KH68,Hefner Easley Airport,Wagoner,US,35.96260070800781,-95.34190368652344
N561FX,NORDSTROM INC,a72b34,2024-11-13,2024-11-13 19:26:42+00:00,2024-11-13 20:08:05+00:00,41.4,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-13,2024-11-13 16:17:11+00:00,2024-11-13 18:09:56+00:00,112.8,,,,,,,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
