Date,Price,Open,High,Low,Vol.,Change %
2/5/25,24.27,24.3,24.33,24.26,1.52M,0.04%
2/4/25,24.26,24.15,24.29,24.15,1.30M,0.41%
2/3/25,24.16,24.19,24.24,24.11,2.78M,-0.17%
1/31/25,24.2,24.24,24.26,24.19,2.06M,-0.17%
1/30/25,24.24,24.25,24.32,24.22,1.30M,0.08%
1/29/25,24.22,24.23,24.27,24.2,1.46M,-0.04%
1/28/25,24.23,24.19,24.25,24.17,1.11M,0.21%
1/27/25,24.18,24.12,24.23,24.12,2.43M,0.04%
1/24/25,24.17,24.17,24.19,24.15,1.74M,0.08%
1/23/25,24.15,24.24,24.24,24.15,1.87M,-0.21%
1/22/25,24.2,24.21,24.23,24.16,1.38M,-0.12%
1/21/25,24.23,24.11,24.23,24.11,2.72M,0.54%
1/17/25,24.1,24.15,24.16,24.1,2.06M,-0.12%
1/16/25,24.13,24.12,24.17,24.11,2.23M,0.08%
1/15/25,24.11,24.16,24.17,24.11,2.48M,-0.08%
1/14/25,24.13,24.17,24.19,24.09,3.61M,-0.08%
1/13/25,24.15,24.1,24.16,24.06,2.92M,0.58%
1/10/25,24.01,24.08,24.11,24,3.66M,-0.33%
1/8/25,24.09,24.13,24.17,24.09,4.06M,-0.12%
1/7/25,24.12,24.16,24.18,24.12,4.70M,-0.17%
1/6/25,24.16,24.19,24.2,24.1,5.59M,-0.04%
1/3/25,24.17,24.14,24.18,24.11,4.66M,0.08%
1/2/25,24.15,24.16,24.21,24.12,4.28M,0.00%
12/31/24,24.15,24.12,24.27,24.11,2.92M,0.17%
12/30/24,24.11,24.13,24.21,24.1,2.53M,-0.41%
12/27/24,24.21,24.2,24.27,24.19,2.13M,-0.04%
12/26/24,24.22,24.18,24.32,24.15,2.75M,0.04%
12/24/24,24.21,24.16,24.28,24.14,5.05M,0.17%
12/23/24,24.17,24.21,24.89,24.04,9.95M,-1.47%
12/20/24,24.53,23.97,24.95,23.95,4.58M,1.95%
12/19/24,24.06,23.28,24.46,23.04,3.20M,5.11%
12/18/24,22.89,23.32,23.45,22.87,2.57M,-1.17%
12/17/24,23.16,23.52,23.74,22.99,1.77M,-0.81%
12/16/24,23.35,23.16,23.5,22.92,2.00M,0.73%
12/13/24,23.18,22.61,23.32,22.45,1.44M,2.98%
12/12/24,22.51,22.9,23,22.41,1.42M,-1.96%
12/11/24,22.96,22.94,23.13,22.35,2.03M,0.00%
12/10/24,22.96,22.94,23.18,22.79,1.75M,0.13%
12/9/24,22.93,23.33,23.57,22.65,3.01M,-1.12%
12/6/24,23.19,23.7,23.7,23.05,2.05M,-1.15%
12/5/24,23.46,23.72,23.75,23.11,1.95M,-2.21%
12/4/24,23.99,23.22,24,23.15,2.19M,3.49%
12/3/24,23.18,22.96,23.25,22.57,2.96M,0.52%
12/2/24,23.06,22.56,23.14,22.06,3.52M,1.54%
11/29/24,22.71,22.65,22.89,22.01,2.30M,0.40%
11/27/24,22.62,23.52,23.86,21.71,7.66M,-8.12%
11/26/24,24.62,24.16,24.67,24.02,4.46M,-1.12%
11/25/24,24.9,23.64,24.99,23.64,5.07M,7.14%
11/22/24,23.24,22.77,23.51,22.75,2.08M,3.89%
