Date,FWONA,NWL,WDAY,^GSPC
2023-10-27,56.72999954223633,5.9291205406188965,206.00999450683594,4117.3701171875
2023-10-30,57.47999954223633,6.240711212158203,207.1999969482422,4166.81982421875
2023-10-31,57.54999923706055,5.982536792755127,211.7100067138672,4193.7998046875
2023-11-01,57.7400016784668,5.893510341644287,211.4600067138672,4237.85986328125
2023-11-02,58.66999816894531,6.053757190704346,212.9199981689453,4317.77978515625
2023-11-03,58.04999923706055,6.16058874130249,218.41000366210938,4358.33984375
2023-11-06,57.40999984741211,6.267419815063477,218.38999938964844,4365.97998046875
2023-11-07,56.91999816894531,6.142783164978027,221.4499969482422,4378.3798828125
2023-11-08,58.16999816894531,6.098269939422607,222.60000610351562,4382.77978515625
2023-11-09,58.349998474121094,5.982536792755127,225.4499969482422,4347.35009765625
2023-11-10,60.58000183105469,6.089367389678955,230.00999450683594,4415.240234375
2023-11-13,59.02000045776367,5.938023567199707,226.3000030517578,4411.5498046875
2023-11-14,58.900001525878906,6.552301406860352,232.4199981689453,4495.7001953125
2023-11-15,57.439998626708984,6.8193793296813965,231.50999450683594,4502.8798828125
2023-11-16,57.150001525878906,6.59681510925293,231.9499969482422,4508.240234375
2023-11-17,57.689998626708984,6.721451282501221,231.66000366210938,4514.02001953125
2023-11-20,59.150001525878906,6.6858415603637695,237.02000427246094,4547.3798828125
2023-11-21,58.189998626708984,6.543399810791016,236.67999267578125,4538.18994140625
2023-11-22,58.91999816894531,6.6858415603637695,234.25999450683594,4556.6201171875
2023-11-24,59.400001525878906,6.668035984039307,236.61000061035156,4559.33984375
2023-11-27,59.31999969482422,6.614619731903076,235.8300018310547,4550.43017578125
2023-11-28,58.47999954223633,6.757061958312988,237.3300018310547,4554.89013671875
2023-11-29,57.20000076293945,6.900828838348389,263.489990234375,4550.580078125
2023-11-30,57.33000183105469,6.855902194976807,270.7200012207031,4567.7998046875
2023-12-01,57.279998779296875,7.287202835083008,272.9200134277344,4594.6298828125
2023-12-04,56.439998626708984,7.404014587402344,269.2200012207031,4569.77978515625
2023-12-05,56.220001220703125,7.188363552093506,267.760009765625,4567.18017578125
2023-12-06,56.060001373291016,7.395028591156006,267.32000732421875,4549.33984375
2023-12-07,56.20000076293945,7.547781467437744,272.3800048828125,4585.58984375
2023-12-08,57.16999816894531,7.565752029418945,273.4100036621094,4604.3701171875
2023-12-11,57.43000030517578,7.466912746429443,276.1099853515625,4622.43994140625
2023-12-12,57.720001220703125,7.260246753692627,276.75,4643.7001953125
2023-12-13,57.290000915527344,7.682562828063965,278.67999267578125,4707.08984375
2023-12-14,57.939998626708984,8.068937301635742,270.7799987792969,4719.5498046875
2023-12-15,58.630001068115234,7.862271785736084,272.70001220703125,4719.18994140625
2023-12-18,58.560001373291016,7.67357873916626,272.75,4740.56005859375
2023-12-19,59.880001068115234,7.952129364013672,273.9800109863281,4768.3701171875
2023-12-20,58.79999923706055,7.646623134613037,270.1499938964844,4698.35009765625
2023-12-21,59.130001068115234,7.808359146118164,272.8999938964844,4746.75
2023-12-22,58.9900016784668,7.6915483474731445,272.57000732421875,4754.6298828125
2023-12-26,57.56999969482422,7.817343711853027,273.9700012207031,4774.75
2023-12-27,57.900001525878906,7.826330184936523,273.70001220703125,4781.580078125
2023-12-28,58.290000915527344,7.925171852111816,276.0799865722656,4783.35009765625
2023-12-29,57.97999954223633,7.799374580383301,276.05999755859375,4769.830078125
2024-01-02,57.16999816894531,7.853285789489746,268.2799987792969,4742.830078125
2024-01-03,56.560001373291016,7.511838912963867,268.4100036621094,4704.81005859375
2024-01-04,56.2599983215332,7.493869304656982,267.0799865722656,4688.68017578125
2024-01-05,56.439998626708984,7.556766986846924,265.79998779296875,4697.240234375
2024-01-08,57.040000915527344,7.682562828063965,272.94000244140625,4763.5400390625
2024-01-09,56.599998474121094,8.059953689575195,275.82000732421875,4756.5
2024-01-10,56.63999938964844,7.988069534301758,276.80999755859375,4783.4501953125
2024-01-11,56.41999816894531,7.862271785736084,278.9700012207031,4780.240234375
2024-01-12,57.52000045776367,7.628651142120361,283.239990234375,4783.830078125
2024-01-16,56.970001220703125,7.421986103057861,280.8900146484375,4765.97998046875
2024-01-17,56.810001373291016,7.287202835083008,281.32000732421875,4739.2099609375
2024-01-18,56.689998626708984,7.215319633483887,285.67999267578125,4780.93994140625
2024-01-19,56.7599983215332,7.323144912719727,289.989990234375,4839.81005859375
2024-01-22,57.029998779296875,7.601694107055664,289.8800048828125,4850.43017578125
2024-01-23,60.939998626708984,7.511838912963867,291.32000732421875,4864.60009765625
2024-01-24,61.61000061035156,7.457927227020264,295.5,4868.5498046875
2024-01-25,61.47999954223633,7.664592266082764,292.3599853515625,4894.16015625
2024-01-26,61.45000076293945,7.808359146118164,288.6300048828125,4890.97021484375
2024-01-29,61.52000045776367,7.853285789489746,296.7300109863281,4927.93017578125
2024-01-30,61.56999969482422,7.718505382537842,294.8599853515625,4924.97021484375
2024-01-31,61.09000015258789,7.475898265838623,291.07000732421875,4845.64990234375
2024-02-01,61.130001068115234,7.610680103302002,294.0,4906.18994140625
2024-02-02,59.849998474121094,7.475898265838623,294.739990234375,4958.60986328125
2024-02-05,58.97999954223633,7.269233226776123,291.7300109863281,4942.81005859375
2024-02-06,59.41999816894531,7.242276668548584,288.6300048828125,4954.22998046875
2024-02-07,59.2400016784668,7.116479873657227,294.4200134277344,4995.06005859375
2024-02-08,59.38999938964844,7.592708587646484,298.6499938964844,4997.91015625
2024-02-09,60.16999816894531,6.155036926269531,304.8900146484375,5026.60986328125
2024-02-12,61.189998626708984,6.55039644241333,299.0899963378906,5021.83984375
2024-02-13,59.220001220703125,6.61329460144043,296.75,4953.169921875
2024-02-14,60.65999984741211,6.837930679321289,302.239990234375,5000.6201171875
2024-02-15,61.880001068115234,7.188363552093506,305.0899963378906,5029.72998046875
2024-02-16,62.59000015258789,6.891842842102051,302.6700134277344,5005.56982421875
2024-02-20,61.029998779296875,7.008655548095703,301.9800109863281,4975.509765625
2024-02-21,61.08000183105469,6.846916198730469,298.9599914550781,4981.7998046875
2024-02-22,61.27000045776367,6.757061958312988,306.6199951171875,5087.02978515625
2024-02-23,61.84000015258789,6.514453887939453,305.8800048828125,5088.7998046875
