Date,Price,Open,High,Low,Vol.,Change %
1/27/25,75.04,75.48,75.67,74.21,1.88M,-1.19%
1/24/25,75.94,75.42,76.67,75.19,1.96M,0.44%
1/23/25,75.61,72.99,76.06,72.25,2.38M,2.93%
1/22/25,73.46,73.85,73.9,72.83,1.35M,-0.45%
1/21/25,73.79,70.81,73.82,70.57,2.47M,5.47%
1/17/25,69.96,69.84,70.88,69.28,1.76M,0.89%
1/16/25,69.34,69.8,70.12,68.68,1.26M,-0.33%
1/15/25,69.57,72.49,72.9,69.51,1.51M,-2.43%
1/14/25,71.3,72,73.2,70.84,2.17M,0.52%
1/13/25,70.93,69.43,71.17,68.69,2.00M,1.20%
1/10/25,70.09,68.57,70.57,68.5,1.30M,1.13%
1/8/25,69.31,69.67,69.67,68.29,1.48M,-0.84%
1/7/25,69.9,70.7,71.16,69.38,1.22M,-0.21%
1/6/25,70.05,69.49,71.11,69.13,1.54M,1.39%
1/3/25,69.09,68.63,70.63,68.29,1.43M,2.67%
1/2/25,67.29,67.43,68.57,67.29,1.54M,0.07%
12/31/24,67.24,67.78,67.98,67.08,966.26K,-0.71%
12/30/24,67.72,66.72,67.98,66.21,1.12M,0.16%
12/27/24,67.61,67.61,68.36,67.13,811.52K,-0.46%
12/26/24,67.92,67.73,68.3,67.56,963.15K,0.28%
12/24/24,67.73,67.46,67.78,66.77,371.05K,0.70%
12/23/24,67.26,67.06,68.6,66.71,1.06M,-0.58%
12/20/24,67.65,65.7,68.25,65.54,7.88M,2.05%
12/19/24,66.29,66.61,66.93,65.58,1.52M,0.35%
12/18/24,66.06,68.33,68.55,66.04,1.44M,-3.27%
12/17/24,68.29,68.43,69.46,68.18,1.80M,0.09%
12/16/24,68.23,70.26,71.13,68.14,2.08M,-3.01%
12/13/24,70.35,70.22,70.69,69.88,1.07M,0.36%
12/12/24,70.1,70.78,71.14,69.88,1.52M,-1.28%
12/11/24,71.01,70.47,71.22,69.91,1.34M,0.88%
12/10/24,70.39,70.74,71.63,70.11,1.87M,-2.24%
12/9/24,72,72,72.79,71.57,2.40M,1.34%
12/6/24,71.05,71.03,71.93,70.45,2.71M,1.08%
12/5/24,70.29,70.42,71.77,70.11,1.79M,-0.51%
12/4/24,70.65,68.84,70.68,68.73,2.36M,2.14%
12/3/24,69.17,68.34,69.71,68,3.23M,5.36%
12/2/24,65.65,64.29,66.54,64.05,3.08M,2.87%
