company_name,event_date,event_type,car_3day,flight_date,days_before,dep_city,dep_lat,dep_lon,arr_city,arr_lat,arr_lon
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-21,12,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-11-21,25,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-11-21,25,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-04,12,,,,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-04,12,Houston,29.645336,-95.276812,,,
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-09,7,Houston,29.645336,-95.276812,Teterboro,40.850101,-74.060799
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-10,6,,,,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2025-01-29,Material_Agreement,-0.0033354899349453,2025-01-06,23,Houston,29.645336,-95.276812,Phoenix,33.435302,-112.005905
CenterPoint Energy Inc,2025-01-29,Material_Agreement,-0.0033354899349453,2025-01-05,24,Napa,38.2132,-122.280998,,,
CenterPoint Energy Inc,2025-01-29,Material_Agreement,-0.0033354899349453,2025-01-08,21,Phoenix,33.435302,-112.005905,Rosharon,29.5061,-95.476898
CenterPoint Energy Inc,2025-01-29,Material_Agreement,-0.0033354899349453,2025-01-16,13,Houston,29.6072998047,-95.1587982178,Boston,42.36197,-71.0079
CenterPoint Energy Inc,2025-02-20,Earnings,0.0231468755888965,2025-01-30,21,Houston,29.645336,-95.276812,San Diego,32.733601,-117.190002
CenterPoint Energy Inc,2025-02-20,Earnings,0.0231468755888965,2025-01-31,20,San Diego,32.733601,-117.190002,Rosharon,29.5061,-95.476898
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-02-24,22,,,,Rosharon,29.5061,-95.476898
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-02-28,18,,,,Reserve,30.087,-90.582602
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-03-03,15,New Orleans,29.993401,-90.264673,Teterboro,40.850101,-74.060799
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-03-04,14,Teterboro,40.850101,-74.060799,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-03-07,11,Houston,29.645336,-95.276812,Napa,38.2132,-122.280998
CenterPoint Energy Inc,2025-03-18,Other,0.0071372457981668,2025-03-16,2,Napa,38.2132,-122.280998,Rosharon,29.5061,-95.476898
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-02,14,St Louis,38.662102,-90.652,,,
